Prueba,Eje x,Eje y,Eje z
808,67.26,-44.07,74.34
809,65.25,-43.21,73.91
810,54.5,-38.88,74.16
811,39.0,-34.12,73.97
812,27.77,-29.66,73.12
813,20.14,-26.43,71.17
814,10.99,-24.6,67.44
815,5.92,-22.58,62.62
816,6.04,-20.45,56.88
817,4.88,-17.21,47.73
818,5.62,-11.11,34.36
819,3.72,-6.29,21.67
820,-5.68,-3.72,10.86
821,-21.91,-1.59,-1.28
822,-38.27,-0.98,-12.33
823,-48.83,-1.1,-23.62
824,-60.06,-1.53,-35.83
825,-69.82,-1.65,-48.34
826,-78.06,-1.28,-59.45
827,-80.51,-1.28,-71.59
828,-75.56,-1.59,-85.21
829,-67.69,-2.56,-99.06
830,-59.02,-2.44,-112.0
831,-49.68,-2.08,-124.27
832,-36.87,-2.87,-135.07
833,-26.98,-4.46,-142.82
834,-28.08,-5.68,-146.24
835,-43.76,-5.55,-146.79
836,-69.82,-4.33,-145.2
837,-101.5,-4.7,-142.82
838,-125.61,-7.45,-141.72
839,-128.42,-9.77,-143.19
840,-123.72,-10.68,-146.73
841,-125.24,-10.13,-151.86
842,-131.77,-9.4,-158.94
843,-134.52,-9.77,-169.07
844,-123.9,-10.93,-182.01
845,-103.09,-11.96,-194.95
846,-83.68,-12.88,-204.28
847,-66.35,-13.49,-210.57
848,-48.58,-15.5,-217.04
849,-32.96,-19.71,-225.22
850,-19.9,-26.49,-233.76
851,-22.46,-32.96,-239.75
852,-42.54,-37.23,-241.09
853,-77.39,-36.99,-236.39
854,-107.6,-34.06,-229.0
855,-119.2,-29.42,-222.6
856,-117.13,-24.54,-218.08
857,-108.34,-20.87,-217.29
858,-92.77,-19.35,-220.76
859,-82.15,-19.96,-222.9
860,-78.8,-24.05,-222.84
861,-74.77,-32.04,-223.94
862,-65.49,-40.41,-226.99
863,-51.57,-45.65,-229.86
864,-34.18,-48.46,-230.96
865,-19.1,-47.91,-229.37
866,-18.86,-43.33,-222.11
867,-34.06,-37.23,-210.27
868,-48.71,-30.64,-199.04
869,-62.26,-22.46,-190.43
870,-65.61,-14.89,-187.26
871,-59.75,-9.77,-189.27
872,-55.24,-7.02,-191.77
873,-51.64,-6.84,-192.08
874,-47.67,-8.61,-190.98
875,-45.17,-11.66,-188.23
876,-47.79,-15.69,-183.11
877,-55.91,-20.63,-176.76
878,-65.55,-24.96,-168.95
879,-72.14,-28.56,-162.23
880,-63.23,-31.19,-158.87
881,-47.36,-28.2,-156.68
882,-47.61,-23.8,-154.11
883,-60.79,-15.01,-152.71
884,-74.46,-5.19,-150.15
885,-84.35,0.85,-146.0
886,-85.14,0.24,-141.17
887,-80.08,-3.85,-137.15
888,-79.77,-8.36,-135.38
889,-65.8,-13.06,-138.31
